"
amarelonazinha FEM-SUFFIX amarelãozinho
amareloninha FEM-SUFFIX amarelãozinho
amarelazinha FEM-SUFFIX amarelozinho
anãzinha FEM-SUFFIX anãozinho
beirãzinha FEM-SUFFIX beirãozinho
beiroazinha FEM-SUFFIX beirãozinho
beiroinha FEM-SUFFIX beirãozinho
cãzinha FEM-SUFFIX cãozinho
catalãzinha FEM-SUFFIX catalãozinho
cruazinha FEM-SUFFIX cruzinho
cruinha FEM-SUFFIX cruzinho
encantadorazinha FEM-SUFFIX encantadorzinho
encantadorinha FEM-SUFFIX encantadorzinho
europeiazinha FEM-SUFFIX europeuzinho
europeinha FEM-SUFFIX europeuzinho
;exemplarzinha FEM-SUFFIX exemplarzinho
felizoninha FEM-SUFFIX felizãozinho
felizonazinha FEM-SUFFIX felizãozinho
francesinha FEM-SUFFIX francesinho
francesazinha FEM-SUFFIX francesinho
hebreiazinha FEM-SUFFIX hebreuzinho
hebreinha FEM-SUFFIX hebreuzinho
ilhoazinha FEM-SUFFIX ilheuzinho
ilhoinha FEM-SUFFIX ilheuzinho
inglesinha FEM-SUFFIX inglesinho
inglesazinha FEM-SUFFIX inglesinho
judiazinha FEM-SUFFIX judeuzinho
judinha FEM-SUFFIX judeuzinho
nuazinha FEM-SUFFIX nuzinho
nuzinha FEM-SUFFIX nuzinho
nuazita FEM-SUFFIX nuzito
nuzita FEM-SUFFIX nuzito
pequenazinha FEM-SUFFIX pequenozinho
trabalhadeirazinha FEM-SUFFIX trabalhadorzinho
trabalhadorazinha FEM-SUFFIX trabalhadorzinho
trabalhadorinha FEM-SUFFIX trabalhadorzinho
trabalhadeirinha FEM-SUFFIX trabalhadorzinho
trabalhadorazita FEM-SUFFIX trabalhadorzito
trabalhadeirazita FEM-SUFFIX trabalhadorzito
vermelhaçazinha FEM-SUFFIX vermelhaçozinho
vermelhazinha FEM-SUFFIX vermelhozinho
anã FEM-SUFFIX anão
beirã FEM-SUFFIX beirão
beiroa FEM-SUFFIX beirão
cã FEM-SUFFIX cão
catalã FEM-SUFFIX catalão
europeia FEM-SUFFIX europeu
européia FEM-SUFFIX europeu
hebreia FEM-SUFFIX hebreu
hebréia FEM-SUFFIX hebreu
judia FEM-SUFFIX judeu
trabalhadora FEM-SUFFIX trabalhador
trabalhadeira FEM-SUFFIX trabalhador
cães N-PL-SUFFIX cão
amarelõezinhos A-PL-SUFFIX amarelãozinho
anões A-PL-SUFFIX anão
anãos A-PL-SUFFIX anão
;anõezinhos A-PL-SUFFIX anãozinho
;anãozinhos A-PL-SUFFIX anãozinho
beirões A-PL-SUFFIX beirão
beirõezinhos A-PL-SUFFIX beirãozinho
canzarrõezinhos A-PL-SUFFIX canzarrãozinho
cães A-PL-SUFFIX cão
cãos A-PL-SUFFIX cão
cãezinhos A-PL-SUFFIX cãozinho
cãozinhos A-PL-SUFFIX cãozinho
cãezitos A-PL-SUFFIX cãozito
canazezinhos A-PL-SUFFIX canazinho
canazinhos A-PL-SUFFIX canazinho
catalões A-PL-SUFFIX catalão
catalães A-PL-SUFFIX catalão
catalãos A-PL-SUFFIX catalão
catalõezinhos A-PL-SUFFIX catalãozinho
catalãezinhos A-PL-SUFFIX catalãozinho
catalãozinhos A-PL-SUFFIX catalãozinho
;encantadorezinhos A-PL-SUFFIX encantadorzinho
